"site_id","entity_id","year_BP","mineralogy","d18O_measurement","d13C_measurement","d18O_dweq","d13C_dweq","TEMP","PREC","ISOT","ITIF","EVAP"
"139","294","494.2","calcite","-8.623","-3.086","-10.9957290660319","-3.086","11.1236654805525","453.447434855621","-7.39585858052278","-8.40717830655085","416.301065494097"
"139","294","496.48","calcite","-8.703","-2.958","-11.1575267641084","-2.958","10.7379758796422","539.74651446027","-7.52506570480556","-9.49371969661324","498.446186977577"
"139","294","498.76","calcite","-8.8","-2.915","-11.1094143620582","-2.915","11.4589736857174","359.941216933243","-6.88876755055021","-7.36797535181134","343.768365651831"
"139","294","501.04","calcite","-8.632","-3.082","-11.0764431186418","-3.082","10.7762836236049","402.33659228801","-7.4782771619502","-9.66045323039198","405.133917948735"
"139","294","503.32","calcite","-8.793","-3.146","-11.0722957912642","-3.146","11.6049798570433","488.968091150518","-6.51014912501156","-7.93581713445307","436.055045911795"
"139","294","505.6","calcite","-8.671","-2.867","-11.0922365612654","-2.867","10.8949022521379","292.939048351835","-7.19834577411664","-8.90225779163335","363.922008126254"
"139","294","507.88","calcite","-8.736","-3.435","-11.1003331800859","-3.435","11.1815666177956","545.507351889607","-7.84590177335822","-9.09750783915826","467.092760575809"
"139","294","510.16","calcite","-8.831","-3.345","-11.0873696083599","-3.345","11.7227700309882","362.924300434302","-6.50018335930628","-9.25541108331112","397.96395830651"
"139","294","512.44","calcite","-8.719","-3.197","-11.1072372571533","-3.197","11.0626243981276","514.812065823406","-7.13255600726612","-8.26080244073168","419.792073203061"
"139","294","514.72","calcite","-8.85","-3.03","-11.3978005985245","-3.03","10.3077979076276","590.028123794551","-7.96104203319038","-9.13822621252488","519.958567648837"
"139","294","517","calcite","-8.848","-3.128","-11.3335256024898","-3.128","10.6092858054352","407.434330376753","-7.556169477113","-8.86673161884107","352.061225849949"
"139","294","519.28","calcite","-8.813","-3.268","-11.1600464907458","-3.268","11.2773952893533","279.591106850198","-8.06559177240399","-9.37832685902817","297.929408326052"
"139","294","521.56","calcite","-8.754","-3.232","-11.1413919805039","-3.232","11.0720051867112","401.325116071827","-7.34535631042026","-8.79730466641452","395.767903299613"
"139","294","523.84","calcite","-8.822","-3.35","-11.2274534842069","-3.35","10.9943536542329","302.575159618837","-7.94559377593878","-8.32888309258416","262.625174336215"
"139","294","526.12","calcite","-8.819","-3.301","-11.3889072331392","-3.301","10.1961858000925","524.198075182554","-7.75350933924008","-9.73099022625358","491.048613891786"
"139","294","528.4","calcite","-8.931","-3.415","-11.3839273491306","-3.415","10.7799790518432","376.921018504714","-6.91900667996845","-8.46326626651987","412.467986043432"
"139","294","530.68","calcite","-8.944","-3.417","-11.2915750121938","-3.417","11.2945628026604","515.582349327673","-7.27654093094965","-8.45488592989184","436.298948595678"
"139","294","532.96","calcite","-8.883","-3.442","-11.372292423447","-3.442","10.5962627656432","398.183183835973","-7.04756397841599","-7.85296845761104","397.885293925649"
"139","294","535.24","calcite","-8.791","-3.434","-11.176631994144","-3.434","11.0861398903994","393.099653237068","-7.43530918568601","-8.65908524404411","387.945203125019"
"139","294","537.48","calcite","-8.999","-3.405","-11.2828702061996","-3.405","11.6137497655395","378.11236193029","-7.14648206856431","-7.99041230369685","355.065822785489"
"139","294","539.7","calcite","-8.927","-3.323","-11.1938123901873","-3.323","11.6862294663575","496.854850609649","-6.88569252513152","-8.34240177198913","481.013917261016"
"139","294","541.92","calcite","-8.913","-3.383","-11.2045481162758","-3.383","11.5632560499027","477.718914915258","-7.30230921917538","-8.46255617499451","473.224438417552"
"139","294","544.14","calcite","-8.927","-3.427","-11.0107842210778","-3.427","12.5837074398537","470.506378490409","-6.97837144988611","-7.91276559900385","398.318764807158"
"139","294","546.36","calcite","-8.861","-3.387","-11.2559305311111","-3.387","11.0514185774024","344.639746728772","-6.65369083130394","-7.95876681828834","381.139027146995"
"139","294","548.58","calcite","-8.825","-3.349","-11.0269907667903","-3.349","11.9879867796202","416.774136204145","-7.07243920725712","-8.52740447430908","360.966736011681"
"139","294","550.8","calcite","-8.815","-3.41","-11.4207165622894","-3.41","10.0224812622691","385.49596273217","-7.58405204836791","-9.74939311180336","413.019411760439"
"139","294","553.02","calcite","-8.845","-3.469","-11.2004902679756","-3.469","11.2410669479979","451.815519563161","-6.47704833411244","-7.79846209728976","413.935204812285"
"139","294","555.24","calcite","-8.74","-3.461","-10.9231447720838","-3.461","12.0674510922001","361.271153741591","-6.98228333023302","-7.12719283229834","342.372112013533"
"139","294","557.46","calcite","-8.832","-3.471","-11.213114516519","-3.471","11.1143022460883","517.969538918044","-6.74237944487821","-8.96850639965205","501.950672427138"
"139","294","559.68","calcite","-8.829","-3.632","-11.2299880654541","-3.632","11.0171298054415","499.629320554479","-7.76652150166025","-8.08076698846092","476.484412660191"
"139","294","561.9","calcite","-8.913","-3.547","-11.1395165556969","-3.547","11.8812167537713","460.090103211309","-7.06430062136815","-7.90447039337362","417.062932959098"
"139","294","564.12","calcite","-8.89","-3.688","-11.0687802089948","-3.688","12.1115811719156","397.506155451802","-6.82891037880706","-8.14355446322326","348.543829107529"
"139","294","566.34","calcite","-8.802","-3.761","-11.2063019264556","-3.761","10.9969471581678","387.358847652133","-7.28186235646678","-9.59941776091148","396.67006099354"
"139","294","568.56","calcite","-8.867","-3.581","-11.3702034524992","-3.581","10.5264011921852","604.125911466182","-7.67711009928314","-9.69917320110497","473.422674924835"
"139","294","570.78","calcite","-8.902","-3.372","-11.3990949317878","-3.372","10.5612687375404","320.713567668964","-6.96862800418047","-8.13608453507267","356.801158176191"
"139","294","573","calcite","-8.869","-3.593","-11.3621934764889","-3.593","10.5752414699787","469.074200212585","-6.88963361330238","-8.13308311263156","423.533029983064"
"139","294","575.28","calcite","-8.829","-4.049","-11.1859236263046","-4.049","11.2316720647767","421.048929058775","-7.09698423862223","-7.81477838616371","392.49446656883"
"139","294","577.56","calcite","-8.886","-3.463","-11.1401613288389","-3.463","11.741883189357","347.207588315925","-6.95505575024896","-8.78790454771295","346.176582155101"
"139","294","579.84","calcite","-8.888","-3.921","-11.2999709681548","-3.921","10.9725786558061","308.538639056259","-7.09475195489358","-8.38103468373533","366.298134909293"
"139","294","582.12","calcite","-8.943","-3.646","-11.3331042737648","-3.646","11.0872475494312","433.527653657984","-7.06290935123378","-8.79540791825053","409.831762605105"
"139","294","584.4","calcite","-9.02","-4.244","-11.4411567327645","-4.244","10.9477552713048","410.378204718291","-7.04309495375395","-9.88404179487814","450.104716270944"
"139","294","586.68","calcite","-9.061","-3.719","-11.1404673498944","-3.719","12.6253285338993","426.355223074779","-6.75917829937426","-7.21347727746823","411.426576798545"
"139","294","588.96","calcite","-8.928","-3.805","-11.1945953087344","-3.805","11.6874417261156","372.351853134554","-6.6804957364205","-7.99387468285166","363.830621473471"
"139","294","591.24","calcite","-9.082","-3.583","-11.4395054630878","-3.583","11.2669578829105","288.616019745143","-7.30024485417382","-8.09530104101788","363.357531925168"
"139","294","593.52","calcite","-9.002","-3.774","-11.253899081207","-3.774","11.7704875425385","448.964915568785","-7.57159187697776","-7.53684503000846","406.989713477123"
"139","294","595.8","calcite","-9.047","-3.978","-11.3229502266854","-3.978","11.6597021133063","318.364595560538","-6.76100031411008","-8.44499172129163","330.975426820251"
"139","294","598.08","calcite","-8.954","-3.731","-11.3004831866945","-3.731","11.301392491211","356.903545841834","-6.90745739731941","-8.53177034706303","346.542907124655"
